,Unnamed: 0,Unnamed: 0.1,index,Frame,HitBounce,X_Ball,Y_Ball,X_Ball_onC,Y_Ball_onC,X_A_onC,Y_A_onC,X_B_onC,Y_B_onC,X1,Y1,X2,Y2,X3,Y3,X4,Y4
47,275,275,59,3934,Front_Hit,651,500,,,,,,,,,,,,,,
48,276,276,33,3999,Back_Hit,987,107,,,,,,,,,,,,,,
49,277,277,61,4004,Front_Hit,755,715,,,,,,,,,,,,,,
50,279,279,37,4052,Back_Hit,988,86,,,,,,,,,,,,,,
51,280,280,63,4097,Front_Hit,669,447,-1.335,2.629999999999999,3.925,-15.15,-1.5750000000000002,11.759999999999998,1023,223,496,225,282,703,1235,705
52,281,281,39,4139,Back_Hit,1026,160,6.204999999999999,-18.28,4.194999999999999,-13.760000000000002,-1.1450000000000005,10.55,1023,224,495,226,283,704,1235,705
53,282,282,65,4222,Front_Hit,946,630,2.3249999999999993,9.669999999999998,-25.794999999999998,-45.14,1.0949999999999998,10.73,1023,224,496,226,281,707,1235,705
54,283,283,67,4409,Front_Hit,524,506,,,,,,,,,,,,,,
55,284,284,69,4526,Front_Hit,456,750,,,,,,,,,,,,,,
56,285,285,41,4685,Back_Hit,552,206,,,,,,,,,,,,,,
57,287,287,43,4970,Back_Hit,792,52,,,,,,,,,,,,,,
58,288,288,71,5031,Front_Hit,331,734,,,,,,,,,,,,,,
59,289,289,73,5426,Front_Hit,486,644,,,,,,,,,,,,,,
60,290,290,47,5585,Back_Hit,1229,163,,,,,,,,,,,,,,
61,291,291,49,5589,Back_Hit,1248,162,,,,,,,,,,,,,,
62,292,292,75,5667,Front_Hit,447,449,,,,,,,,,,,,,,
63,293,293,77,5699,Front_Hit,1512,462,,,,,,,,,,,,,,
64,294,294,79,5745,Front_Hit,1169,520,,,,,,,,,,,,,,
65,295,295,81,5842,Front_Hit,1168,523,,,,,,,,,,,,,,
66,296,296,83,5882,Front_Hit,1169,529,,,,,,,,,,,,,,
67,297,297,85,5932,Front_Hit,884,507,1.8049999999999997,5.300000000000001,-3.9650000000000003,-14.75,0.9550000000000001,11.870000000000001,1021,221,496,226,282,706,1234,704
68,298,298,51,5987,Back_Hit,339,129,-10.585,-22.310000000000002,-3.8950000000000005,-13.15,0.8049999999999997,10.77,1021,223,498,225,282,707,1235,705
69,299,299,53,6082,Back_Hit,689,143,,,,,,,,,,,,,,
70,300,300,87,6237,Front_Hit,885,566,1.6849999999999996,7.57,-3.9650000000000003,-13.81,0.7749999999999995,12.009999999999998,1022,221,499,223,282,706,1234,705
71,301,301,55,6290,Back_Hit,659,168,-2.3550000000000004,-17.34,-3.055,-12.71,0.6149999999999993,11.45,1021,223,499,223,282,707,1235,705
72,302,302,89,6328,Front_Hit,676,610,-1.0250000000000004,9.030000000000001,-0.40500000000000025,-13.41,-0.3650000000000002,11.68,1023,222,496,225,282,706,1235,705
73,303,303,91,6548,Front_Hit,985,800,-5.245,10.349999999999998,-3.9050000000000002,49.47,-3.9050000000000002,49.47,1135,62,516,439,1049,820,627,152
74,304,304,57,6687,Back_Hit,901,240,,,,,,,,,,,,,,
75,305,305,93,6748,Front_Hit,638,729,,,,,,,,,,,,,,
76,306,306,95,6877,Front_Hit,746,783,,,,,,,,,,,,,,
77,307,307,97,6956,Front_Hit,692,573,-0.8050000000000006,7.800000000000001,3.554999999999999,-14.05,-1.3550000000000004,11.969999999999999,1021,218,496,225,282,705,1234,705
78,308,308,99,7037,Front_Hit,678,647,-0.9250000000000007,10.23,2.3449999999999998,-13.97,-1.9550000000000005,12.129999999999999,1022,221,495,226,282,704,1235,705
79,309,309,59,7075,Back_Hit,840,148,1.9049999999999994,-19.69,3.1450000000000005,-14.530000000000001,-1.2750000000000004,12.61,1024,224,495,225,281,705,1234,705
80,310,310,101,7106,Front_Hit,609,585,-1.9150000000000005,8.189999999999998,2.2749999999999995,-15.22,-2.9650000000000003,12.64,1023,222,495,226,284,704,1235,705
81,311,311,61,7152,Back_Hit,857,168,2.245,-17.35,2.5650000000000004,-14.760000000000002,-2.8750000000000004,12.3,1023,223,495,225,283,705,1234,704
82,312,312,103,7185,Front_Hit,500,606,-3.2550000000000003,8.91,1.9849999999999994,-15.510000000000002,-2.4450000000000003,12.399999999999999,1023,223,495,226,282,704,1235,705
83,313,313,63,7225,Back_Hit,873,149,2.745,-19.37,3.665,-13.530000000000001,-0.9350000000000005,12.849999999999998,1021,221,495,226,282,705,1234,704
84,1153,1153,768,7268,Front_Hit,913,841,1.6049999999999995,15.189999999999998,2.5349999999999993,-14.08,0.6449999999999996,14.05,1023,223,495,225,282,705,1235,705
85,1154,1154,107,7325,Front_Hit,777,765,,,,,,,,,,,,,,
86,1155,1155,65,7373,Back_Hit,519,70,,,,,,,,,,,,,,
87,1156,1156,67,7374,Back_Hit,520,66,,,,,,,,,,,,,,
88,1157,1157,109,7495,Front_Hit,576,737,,,,,,,,,,,,,,
89,1158,1158,111,7585,Front_Hit,1092,619,,,,,,,,,,,,,,
90,1159,1159,113,7668,Front_Hit,266,623,,,,,,,,,,,,,,
91,1160,1160,69,7951,Back_Hit,541,103,-5.575,-27.770000000000003,-3.6550000000000002,-15.120000000000001,-29.675,-56.44,1021,221,483,240,276,703,1234,705
92,1161,1161,71,7952,Back_Hit,969,102,5.544999999999999,-25.53,-4.025,-14.700000000000001,0.7749999999999995,12.09,1020,222,499,225,283,705,1234,704
93,1162,1162,115,7954,Front_Hit,881,532,1.705,6.329999999999998,-4.055000000000001,-14.81,0.7949999999999999,12.04,1020,222,499,225,283,705,1234,704
94,1163,1163,117,8121,Front_Hit,1361,719,,,,,,,,,,,,,,
95,1165,1165,73,8190,Back_Hit,561,39,,,,,,,,,,,,,,
96,1166,1166,119,8233,Front_Hit,782,751,,,,,,,,,,,,,,
97,1167,1167,77,8314,Back_Hit,824,319,,,,,,,,,,,,,,
98,1168,1168,121,8372,Front_Hit,821,459,0.9249999999999998,3.25,-3.7250000000000005,-13.18,1.005,11.18,1021,223,499,223,283,705,1234,704
99,1169,1169,79,8407,Back_Hit,621,103,-3.665,-25.700000000000003,-2.3150000000000004,-12.84,0.4449999999999994,12.120000000000001,1021,223,498,225,283,705,1234,704
100,1170,1170,123,8433,Front_Hit,640,635,-1.4350000000000005,9.84,-0.27500000000000036,-13.32,-0.6050000000000004,12.29,1021,223,496,226,283,705,1234,705
101,1171,1171,125,8515,Front_Hit,657,638,-1.2350000000000003,9.939999999999998,0.6049999999999995,-16.65,-2.1350000000000002,14.079999999999998,1023,223,496,225,283,705,1234,704
102,1172,1172,81,8552,Back_Hit,891,152,3.1550000000000002,-19.2,2.3049999999999997,-15.010000000000002,-1.6550000000000002,13.219999999999999,1021,223,496,226,283,705,1234,705
103,1173,1173,127,8592,Front_Hit,542,609,-2.7250000000000005,9.030000000000001,1.7349999999999994,-15.4,-1.9150000000000005,11.739999999999998,1021,223,496,225,283,704,1234,705
104,1174,1174,83,8630,Back_Hit,830,216,1.5349999999999993,-12.690000000000001,2.245,-14.4,-1.0650000000000004,12.489999999999998,1020,224,496,226,283,705,1234,704
105,1175,1175,129,8656,Front_Hit,580,636,-2.1750000000000003,9.870000000000001,1.7249999999999996,-15.52,-1.455,12.530000000000001,1021,223,495,226,283,705,1234,705
106,1176,1176,85,8693,Back_Hit,592,161,-3.875,-18.48,-2.2150000000000003,-15.41,0.01499999999999968,12.530000000000001,1020,223,495,227,284,705,1234,705
107,1177,1177,131,8746,Front_Hit,995,601,3.044999999999999,8.75,-0.9450000000000003,-15.5,2.0149999999999997,11.7,1021,223,495,226,283,705,1234,705
108,1178,1178,87,8783,Back_Hit,921,158,3.7849999999999993,-18.67,2.465,-15.66,1.4349999999999996,8.509999999999998,1023,225,496,226,283,705,1234,704
109,1179,1179,133,8849,Front_Hit,41,823,-7.495,14.829999999999998,1.2649999999999997,-11.67,-3.495,5.02,1021,222,495,226,283,705,1234,705
110,1180,1180,135,8941,Front_Hit,945,657,,,,,,,,,,,,,,
111,1182,1182,89,8956,Back_Hit,1091,20,,,,,,,,,,,,,,
112,1183,1183,137,9077,Front_Hit,626,449,,,,,,,,,,,,,,
113,1184,1184,93,9112,Back_Hit,279,143,,,,,,,,,,,,,,
114,1185,1185,95,9136,Back_Hit,539,58,,,,,,,,,,,,,,
115,1186,1186,97,9188,Back_Hit,1050,194,,,,,,,,,,,,,,
116,1187,1187,139,9221,Front_Hit,1131,432,,,,,,,,,,,,,,
117,1188,1188,141,9326,Front_Hit,224,630,,,,,,,,,,,,,,
118,1189,1189,99,9436,Back_Hit,477,134,,,,,,,,,,,,,,
119,1190,1190,101,9449,Back_Hit,446,130,,,,,,,,,,,,,,
120,1191,1191,103,9501,Back_Hit,1044,195,,,,,,,,,,,,,,
121,1192,1192,143,9631,Front_Hit,780,790,,,,,,,,,,,,,,
122,1194,1194,107,9663,Back_Hit,541,104,-5.695,-25.07,-23.665,-40.519999999999996,-1.5450000000000004,11.879999999999999,1023,230,497,220,280,700,1236,698
123,1195,1195,145,9666,Front_Hit,695,592,-0.7350000000000003,8.489999999999998,3.6450000000000005,-14.440000000000001,-1.3050000000000006,12.09,1020,218,496,225,283,703,1234,705
124,1196,1196,109,9739,Back_Hit,1128,26,11.335,-37.870000000000005,3.554999999999999,-14.08,-1.5550000000000002,11.059999999999999,1023,223,496,226,283,704,1234,705
125,1197,1197,147,9776,Front_Hit,1448,799,7.294999999999999,14.280000000000001,4.065,-14.940000000000001,-1.4850000000000003,11.669999999999998,1023,224,496,226,284,704,1234,704
126,1198,1198,149,9828,Front_Hit,501,498,-4.535,9.18,-8.145,-0.9500000000000011,-2.2250000000000005,9.849999999999998,1401,359,763,56,104,589,1474,682
127,1199,1199,151,9859,Front_Hit,503,498,-5.765000000000001,73.42999999999999,-293.995,691.2,-293.995,691.2,1396,359,680,60,644,156,1474,683
128,1200,1200,111,9884,Back_Hit,813,132,-4.035,-12.530000000000001,-8.465,-4.3100000000000005,-8.465,-4.3100000000000005,1395,356,657,82,118,581,1519,682
129,1201,1201,153,10071,Front_Hit,682,525,-0.9950000000000001,6.050000000000001,3.624999999999999,-13.940000000000001,-1.3250000000000002,12.02,1020,219,496,225,283,703,1234,704
130,1202,1202,113,10123,Back_Hit,979,170,5.114999999999999,-16.4,4.054999999999999,-12.18,-1.3550000000000004,11.3,1016,216,496,225,284,704,1234,705
131,1203,1203,155,10164,Front_Hit,488,582,-3.5150000000000006,8.120000000000001,2.505,-13.99,-2.3150000000000004,11.599999999999998,1022,223,496,225,284,703,1234,705
132,1204,1204,157,10233,Front_Hit,773,381,0.27499999999999947,-0.8200000000000003,-2.1050000000000004,-15.71,0.10499999999999954,10.870000000000001,1021,223,495,227,284,705,1235,705
133,1205,1205,159,10286,Front_Hit,937,595,,,,,,,,,,,,,,
134,1207,1207,117,10479,Back_Hit,1142,15,,,,,,,,,,,,,,
135,1208,1208,161,10561,Front_Hit,1254,719,,,,,,,,,,,,,,
136,1209,1209,163,10688,Front_Hit,551,395,,,,,,,,,,,,,,
137,1210,1210,165,10805,Front_Hit,906,524,,,,,,,,,,,,,,
138,1211,1211,167,10849,Front_Hit,782,743,,,,,,,,,,,,,,
139,1212,1212,169,10886,Front_Hit,911,439,,,,,,,,,,,,,,
140,1213,1213,171,10951,Front_Hit,1095,804,,,,,,,,,,,,,,
141,1215,1215,121,11065,Back_Hit,731,192,,,,,,,,,,,,,,
142,1216,1216,123,11119,Back_Hit,832,214,,,,,,,,,,,,,,
143,1217,1217,173,11166,Front_Hit,871,488,1.6549999999999994,4.550000000000001,-3.995,-14.68,0.9449999999999994,12.05,1021,221,499,225,284,703,1234,705
144,1218,1218,125,11220,Back_Hit,746,121,-0.3150000000000004,-23.060000000000002,-0.9350000000000005,-14.290000000000001,0.375,11.239999999999998,1023,223,495,226,284,703,1234,705
145,1219,1219,175,11290,Front_Hit,887,676,1.5549999999999997,11.09,-3.0650000000000004,-14.860000000000001,-26.265,-45.89,1021,223,496,226,284,704,1234,705
146,1220,1220,177,11378,Front_Hit,697,391,,,,,,,,,,,,,,
147,1221,1221,179,11438,Front_Hit,431,407,,,,,,,,,,,,,,
148,1222,1222,127,11454,Back_Hit,1074,224,,,,,,,,,,,,,,
149,1223,1223,181,11545,Front_Hit,545,434,,,,,,,,,,,,,,
150,1225,1225,131,11576,Back_Hit,539,104,-5.745,-25.33,-3.9350000000000005,-14.27,0.7149999999999999,11.98,1024,225,495,223,279,700,1235,701
151,1226,1226,183,11580,Front_Hit,870,617,1.415,9.329999999999998,-3.995,-14.21,0.6749999999999998,11.899999999999999,1022,222,499,224,284,703,1234,704
152,1227,1227,133,11639,Back_Hit,665,147,-2.245,-19.950000000000003,-2.8550000000000004,-13.3,0.48499999999999943,11.370000000000001,1022,223,496,226,284,704,1235,705
153,1228,1228,185,11674,Front_Hit,726,619,-0.375,9.36,-0.15500000000000025,-13.700000000000001,-0.8550000000000004,13.84,1022,223,496,226,284,703,1235,705
154,1229,1229,187,11902,Front_Hit,176,755,,,,,,,,,,,,,,
155,1230,1230,189,12001,Front_Hit,1172,701,,,,,,,,,,,,,,
156,1231,1231,191,12053,Front_Hit,868,510,,,,,,,,,,,,,,
157,1232,1232,193,12085,Front_Hit,852,753,,,,,,,,,,,,,,
158,1234,1234,137,12140,Back_Hit,862,28,,,,,,,,,,,,,,
159,1235,1235,139,12206,Back_Hit,1133,59,,,,,,,,,,,,,,
160,1236,1236,141,12281,Back_Hit,1073,68,,,,,,,,,,,,,,
161,1237,1237,195,12601,Front_Hit,671,705,,,,,,,,,,,,,,
162,1238,1238,197,12648,Front_Hit,1059,471,,,,,,,,,,,,,,
163,1239,1239,143,12744,Back_Hit,985,60,,,,,,,,,,,,,,
164,1240,1240,199,12756,Front_Hit,544,768,,,,,,,,,,,,,,
165,1241,1241,201,12812,Front_Hit,706,783,,,,,,,,,,,,,,
166,1242,1242,145,12835,Back_Hit,702,47,-1.6950000000000003,-34.480000000000004,-1.0750000000000002,-12.41,3.6450000000000005,14.620000000000001,1023,222,496,225,283,706,1238,703
167,1243,1243,203,12860,Front_Hit,1087,509,4.614999999999999,5.43,-1.3050000000000006,-11.520000000000001,3.964999999999999,13.09,1023,222,496,225,283,706,1234,702
168,1244,1244,205,12932,Front_Hit,403,691,-4.1450000000000005,11.469999999999999,-26.005,-45.62,0.024999999999999467,13.16,1023,222,495,226,283,706,1235,705
169,1245,1245,207,13090,Front_Hit,717,539,,,,,,,,,,,,,,
170,1246,1246,209,13145,Front_Hit,1030,555,,,,,,,,,,,,,,
171,1247,1247,211,13226,Front_Hit,1018,534,,,,,,,,,,,,,,
172,1248,1248,213,13326,Front_Hit,793,764,,,,,,,,,,,,,,
173,1249,1249,215,13485,Front_Hit,526,449,,,,,,,,,,,,,,
174,1250,1250,147,13498,Back_Hit,809,82,1.3949999999999996,-28.46,1.5749999999999993,-12.110000000000001,-3.745,14.95,1021,221,496,225,283,700,1234,704
175,1251,1251,149,13509,Back_Hit,819,41,1.7849999999999993,-35.47,1.505,-12.5,-26.145,-45.49,1023,223,496,225,284,700,1234,705
176,1252,1252,217,13542,Front_Hit,709,658,-0.5650000000000004,10.54,1.1949999999999994,-11.46,-2.535,12.95,1023,222,495,225,282,705,1234,705
177,1253,1253,219,13643,Front_Hit,1094,734,,,,,,,,,,,,,,
178,1255,1255,153,13670,Back_Hit,1512,192,,,,,,,,,,,,,,
179,1256,1256,155,13735,Back_Hit,1111,244,,,,,,,,,,,,,,
180,1257,1257,221,13739,Front_Hit,659,711,,,,,,,,,,,,,,
181,1258,1258,157,13820,Back_Hit,1194,233,,,,,,,,,,,,,,
182,1259,1259,223,13840,Front_Hit,1246,761,,,,,,,,,,,,,,
183,1261,1261,161,13858,Back_Hit,1195,213,,,,,,,,,,,,,,
184,1262,1262,225,13904,Front_Hit,432,781,,,,,,,,,,,,,,
185,1263,1263,163,13934,Back_Hit,1155,225,,,,,,,,,,,,,,
186,1264,1264,165,14014,Back_Hit,572,315,,,,,,,,,,,,,,
187,1265,1265,227,14050,Front_Hit,1201,558,5.935,7.16,-1.1550000000000002,-11.32,4.454999999999999,12.77,1023,221,495,225,284,703,1231,709
188,1266,1266,229,14223,Front_Hit,1212,679,,,,,,,,,,,,,,
189,1267,1267,231,14407,Front_Hit,716,637,,,,,,,,,,,,,,
190,1268,1268,233,14686,Front_Hit,835,803,,,,,,,,,,,,,,
191,1269,1269,235,14745,Front_Hit,988,799,,,,,,,,,,,,,,
192,1270,1270,237,14953,Front_Hit,1119,811,,,,,,,,,,,,,,
193,1271,1271,239,15001,Front_Hit,614,763,,,,,,,,,,,,,,
194,1272,1272,241,15139,Front_Hit,547,456,,,,,,,,,,,,,,
195,1273,1273,167,15155,Back_Hit,810,73,1.495,-29.92,1.585,-12.200000000000001,-3.745,14.98,1020,221,495,225,284,697,1234,704
196,1274,1274,169,15166,Back_Hit,816,40,1.7149999999999999,-35.74,1.4849999999999994,-12.59,-3.4850000000000003,15.09,1023,223,495,225,284,696,1234,704
197,1275,1275,243,15232,Front_Hit,300,829,-4.7250000000000005,14.98,1.455,-11.4,-2.265,12.59,1022,221,495,225,283,704,1234,704
198,1276,1276,171,15404,Back_Hit,808,126,1.255,-22.23,1.6849999999999996,-12.110000000000001,-3.8050000000000006,14.419999999999998,1022,221,495,225,284,697,1234,704
199,1277,1277,173,15420,Back_Hit,825,36,1.9749999999999996,-36.57,1.505,-12.41,-26.485,-46.160000000000004,1024,223,496,225,284,695,1235,704
200,1278,1278,245,15461,Front_Hit,395,570,-4.7250000000000005,7.710000000000001,1.4049999999999994,-11.67,-3.5250000000000004,12.86,1023,221,498,225,276,704,1234,704
201,1279,1279,247,15624,Front_Hit,1100,756,3.6949999999999994,13.23,3.5349999999999993,-11.08,-0.8250000000000002,15.0,1032,221,507,220,289,700,1241,705
202,1280,1280,175,15665,Back_Hit,778,187,0.21499999999999986,-15.32,0.7050000000000001,-11.89,0.7849999999999993,14.96,1032,223,505,223,289,702,1241,704
203,1281,1281,249,15681,Front_Hit,17,837,-7.675000000000001,15.169999999999998,-0.13500000000000068,-12.25,1.255,15.04,1033,223,506,223,290,703,1242,705
204,1283,1283,177,15816,Back_Hit,1044,37,,,,,,,,,,,,,,
205,1284,1284,251,15954,Front_Hit,878,422,,,,,,,,,,,,,,
206,1285,1285,253,16049,Front_Hit,850,409,,,,,,,,,,,,,,
207,1286,1286,255,16368,Front_Hit,927,824,1.7649999999999997,14.84,-0.45500000000000007,-10.58,2.6550000000000002,12.329999999999998,1024,222,500,224,285,702,1236,704
208,1287,1287,257,16424,Front_Hit,1183,398,,,,,,,,,,,,,,
209,1288,1288,259,16583,Front_Hit,397,379,,,,,,,,,,,,,,
210,1289,1289,261,16702,Front_Hit,860,755,,,,,,,,,,,,,,
211,1290,1290,181,16708,Back_Hit,351,76,,,,,,,,,,,,,,
212,1291,1291,183,16871,Back_Hit,301,39,,,,,,,,,,,,,,
213,1292,1292,185,16875,Back_Hit,969,12,,,,,,,,,,,,,,
214,1293,1293,263,16883,Front_Hit,484,508,,,,,,,,,,,,,,
215,1294,1294,187,16916,Back_Hit,297,36,,,,,,,,,,,,,,
216,1295,1295,189,16961,Back_Hit,300,41,,,,,,,,,,,,,,
217,1296,1296,265,17018,Front_Hit,645,700,,,,,,,,,,,,,,
218,1297,1297,191,17062,Back_Hit,650,59,,,,,,,,,,,,,,
219,1298,1298,267,17180,Front_Hit,1247,759,,,,,,,,,,,,,,
220,1299,1299,269,17224,Front_Hit,1010,670,,,,,,,,,,,,,,
