,Frame,X,Y
0,14.0,59.0,816.0
1,29.0,751.0,638.0
2,472.0,763.0,602.0
3,473.0,758.0,232.0
4,476.0,742.0,233.0
5,478.0,736.0,233.0
6,480.0,728.0,233.0
7,481.0,722.0,232.0
8,482.0,715.0,234.0
9,484.0,710.0,231.0
10,485.0,705.0,234.0
11,486.0,703.0,233.0
12,487.0,698.0,232.0
13,490.0,685.0,232.0
14,491.0,683.0,233.0
15,492.0,680.0,232.0
16,493.0,675.0,601.0
17,496.0,666.0,233.0
18,497.0,662.0,232.0
19,498.0,659.0,602.0
20,499.0,657.0,232.0
21,500.0,653.0,602.0
22,501.0,649.0,234.0
23,502.0,646.0,233.0
24,503.0,643.0,232.0
25,504.0,640.0,602.0
26,505.0,637.0,601.0
27,506.0,632.0,601.0
28,508.0,628.0,599.0
29,509.0,625.0,601.0
30,510.0,623.0,234.0
31,511.0,621.0,602.0
32,512.0,620.0,234.0
33,514.0,612.0,600.0
34,515.0,610.0,233.0
35,516.0,609.0,601.0
36,517.0,605.0,233.0
37,518.0,604.0,233.0
38,519.0,601.0,233.0
39,520.0,600.0,232.0
40,521.0,595.0,232.0
41,522.0,595.0,601.0
42,523.0,592.0,600.0
43,524.0,590.0,601.0
44,525.0,588.0,232.0
45,526.0,585.0,232.0
46,527.0,585.0,233.0
47,552.0,746.0,151.0
48,554.0,828.0,371.0
49,556.0,853.0,442.0
50,557.0,865.0,474.0
51,558.0,865.0,474.0
52,559.0,884.0,526.0
53,560.0,894.0,561.0
54,561.0,907.0,598.0
55,562.0,920.0,606.0
56,563.0,932.0,612.0
57,564.0,946.0,626.0
58,565.0,946.0,626.0
59,566.0,959.0,637.0
60,567.0,971.0,650.0
61,568.0,985.0,669.0
62,569.0,998.0,687.0
63,570.0,1013.0,711.0
64,571.0,1016.0,713.0
65,572.0,993.0,671.0
66,573.0,959.0,598.0
67,574.0,936.0,557.0
68,575.0,918.0,521.0
69,576.0,892.0,473.0
70,577.0,892.0,475.0
71,578.0,875.0,446.0
72,579.0,858.0,420.0
73,580.0,840.0,393.0
74,581.0,831.0,379.0
75,582.0,812.0,356.0
76,583.0,813.0,356.0
77,584.0,803.0,345.0
78,585.0,795.0,335.0
79,586.0,781.0,323.0
80,587.0,771.0,314.0
81,588.0,771.0,315.0
82,589.0,762.0,310.0
83,590.0,756.0,305.0
84,591.0,749.0,304.0
85,592.0,740.0,300.0
86,593.0,736.0,283.0
87,594.0,736.0,285.0
88,595.0,730.0,260.0
89,596.0,725.0,248.0
90,597.0,723.0,239.0
91,598.0,719.0,225.0
92,599.0,714.0,213.0
93,600.0,714.0,211.0
94,601.0,711.0,203.0
95,602.0,706.0,195.0
96,603.0,703.0,192.0
97,604.0,700.0,184.0
98,605.0,697.0,182.0
99,606.0,699.0,180.0
100,611.0,777.0,224.0
101,612.0,798.0,241.0
102,613.0,796.0,239.0
103,614.0,811.0,251.0
104,615.0,827.0,267.0
105,616.0,850.0,289.0
106,617.0,864.0,307.0
107,618.0,865.0,306.0
108,619.0,889.0,335.0
109,620.0,905.0,355.0
110,621.0,922.0,378.0
111,622.0,947.0,413.0
112,623.0,966.0,439.0
113,624.0,988.0,472.0
114,625.0,987.0,471.0
115,626.0,1011.0,509.0
116,627.0,1031.0,541.0
117,628.0,1061.0,591.0
118,629.0,1079.0,620.0
119,630.0,1080.0,621.0
120,631.0,1111.0,621.0
121,632.0,1115.0,624.0
122,633.0,1134.0,625.0
123,634.0,1153.0,631.0
124,635.0,1171.0,640.0
125,636.0,1172.0,639.0
126,637.0,1196.0,650.0
127,638.0,1213.0,662.0
128,639.0,1228.0,671.0
129,640.0,1252.0,687.0
130,641.0,1273.0,704.0
131,642.0,1271.0,703.0
132,643.0,1294.0,724.0
133,644.0,1317.0,746.0
134,645.0,1340.0,771.0
135,646.0,1362.0,797.0
136,647.0,1384.0,823.0
137,648.0,1385.0,826.0
138,681.0,426.0,96.0
139,685.0,421.0,95.0
140,686.0,419.0,95.0
141,699.0,605.0,742.0
142,702.0,585.0,739.0
143,723.0,905.0,12.0
144,729.0,843.0,12.0
145,740.0,874.0,405.0
146,797.0,986.0,305.0
147,798.0,989.0,305.0
148,799.0,989.0,305.0
149,800.0,991.0,303.0
150,821.0,1014.0,294.0
151,822.0,1015.0,295.0
152,830.0,1015.0,294.0
153,840.0,1515.0,599.0
154,841.0,1510.0,599.0
155,843.0,1016.0,300.0
156,848.0,945.0,302.0
157,851.0,999.0,308.0
158,852.0,1006.0,307.0
159,860.0,960.0,14.0
160,861.0,950.0,15.0
161,866.0,284.0,749.0
162,867.0,292.0,750.0
163,868.0,294.0,749.0
164,869.0,298.0,755.0
165,870.0,300.0,752.0
166,871.0,303.0,753.0
167,872.0,303.0,752.0
