,index,Frame,HitBounce,X_Ball,Y_Ball
173,52,3989,Back_Hit,575,198
174,40,3992,Front_Bounce,700,531
175,28,4005,Front_Hit,687,520
176,41,4017,Front_Bounce,682,552
177,42,4020,Front_Bounce,684,531
178,53,4026,Back_Hit,1181,306
179,53,4026,Back_Bounce,1181,306
180,43,4036,Front_Bounce,648,524
181,54,4058,Back_Bounce,1108,343
182,29,4061,Front_Hit,1101,340
183,54,4062,Back_Hit,1100,339
184,55,4064,Back_Bounce,1095,341
185,55,4064,Back_Hit,1095,341
186,30,4085,Front_Hit,1052,353
187,56,4206,Back_Bounce,644,311
188,57,4224,Back_Bounce,937,248
189,56,4234,Back_Hit,985,126
190,57,4234,Back_Hit,985,126
191,44,4241,Front_Bounce,910,160
192,45,4250,Front_Bounce,796,279
193,58,4297,Back_Bounce,604,199
194,58,4316,Back_Hit,585,90
195,59,4325,Back_Hit,578,110
196,59,4325,Back_Bounce,578,110
197,46,4345,Front_Bounce,624,450
198,31,4357,Front_Hit,638,423
199,60,4377,Back_Bounce,864,221
200,60,4390,Back_Hit,901,140
201,61,4391,Back_Bounce,887,143
202,61,4391,Back_Hit,887,143
203,62,4398,Back_Bounce,799,181
204,62,4398,Back_Hit,799,181
205,63,4443,Back_Bounce,546,285
206,63,4444,Back_Hit,890,153
207,47,4445,Front_Bounce,540,287
208,64,4455,Back_Hit,520,285
209,64,4455,Back_Bounce,520,285
210,48,4770,Front_Bounce,789,327
211,49,4776,Front_Bounce,882,399
212,32,4780,Front_Hit,960,397
213,50,4782,Front_Bounce,1004,394
214,33,4798,Front_Hit,1232,373
215,51,4814,Front_Bounce,1111,559
216,52,4830,Front_Bounce,1039,563
217,34,4845,Front_Hit,967,557
218,53,4851,Front_Bounce,941,559
219,54,4859,Front_Bounce,909,563
220,35,4870,Front_Hit,883,575
221,36,4887,Front_Hit,913,609
222,37,4905,Front_Hit,1043,621
223,55,5702,Front_Bounce,1176,702
224,56,5742,Front_Bounce,494,300
225,57,5783,Front_Bounce,528,601
226,58,5812,Front_Bounce,785,406
227,59,5906,Front_Bounce,625,588
228,65,5951,Back_Bounce,845,179
229,65,5951,Back_Hit,845,179
230,66,5965,Back_Bounce,790,197
231,66,5965,Back_Hit,790,197
232,67,5972,Back_Bounce,751,209
233,68,5982,Back_Bounce,719,225
234,67,5996,Back_Hit,973,24
235,68,5996,Back_Hit,973,24
236,69,6026,Back_Hit,735,186
237,69,6026,Back_Bounce,735,186
238,70,6112,Back_Bounce,841,323
239,71,6129,Back_Bounce,578,252
240,72,6142,Back_Hit,479,113
241,72,6142,Back_Bounce,479,113
242,70,6142,Back_Hit,479,113
243,71,6142,Back_Hit,479,113
244,60,6169,Front_Bounce,860,450
245,38,6175,Front_Hit,958,474
246,73,6214,Back_Bounce,864,58
247,73,6244,Back_Hit,837,30
248,74,6270,Back_Bounce,837,83
249,74,6270,Back_Hit,837,83
250,61,6274,Front_Bounce,236,638
251,75,6281,Back_Bounce,839,136
252,62,6285,Front_Bounce,576,664
253,75,6309,Back_Hit,50,68
254,63,6411,Front_Bounce,1306,520
255,64,6461,Front_Bounce,1083,582
256,39,6536,Front_Hit,147,493
257,65,6636,Front_Bounce,746,186
258,76,6805,Back_Bounce,637,318
259,77,6822,Back_Bounce,931,242
260,76,6832,Back_Hit,978,129
261,77,6838,Back_Hit,966,127
262,78,6840,Back_Bounce,959,134
263,78,6840,Back_Hit,959,134
264,79,6846,Back_Bounce,937,170
265,79,6846,Back_Hit,937,170
266,66,6854,Front_Bounce,899,283
267,67,6865,Front_Bounce,841,563
268,40,6870,Front_Hit,820,583
269,41,6921,Front_Hit,829,584
270,68,6933,Front_Bounce,524,845
271,42,6941,Front_Hit,507,808
272,69,6945,Front_Bounce,500,817
273,70,6957,Front_Bounce,479,787
274,43,6981,Front_Hit,658,504
275,80,7135,Back_Bounce,625,337
276,81,7153,Back_Bounce,917,265
277,80,7165,Back_Hit,974,129
278,81,7172,Back_Hit,990,107
279,82,7173,Back_Bounce,989,107
280,82,7173,Back_Hit,989,107
281,83,7185,Back_Hit,922,138
282,83,7185,Back_Bounce,922,138
283,71,7196,Front_Bounce,817,268
284,44,7216,Front_Hit,615,596
285,84,7246,Back_Bounce,902,217
286,84,7255,Back_Hit,926,144
287,85,7259,Back_Bounce,890,155
288,85,7259,Back_Hit,890,155
289,72,7279,Front_Bounce,622,444
290,45,7285,Front_Hit,543,467
291,73,7292,Front_Bounce,435,552
292,86,7321,Back_Bounce,810,232
293,86,7335,Back_Hit,859,147
294,87,7338,Back_Bounce,833,158
295,87,7338,Back_Hit,833,158
296,74,7342,Front_Bounce,794,181
297,75,7360,Front_Bounce,592,478
298,46,7368,Front_Hit,506,509
299,88,7404,Back_Bounce,914,195
300,89,7411,Back_Bounce,945,136
301,89,7411,Back_Hit,945,136
302,88,7411,Back_Hit,945,136
303,90,7420,Back_Hit,868,169
304,90,7420,Back_Bounce,868,169
305,76,7439,Front_Bounce,612,495
306,47,7446,Front_Hit,528,521
307,91,7480,Back_Bounce,800,208
308,91,7490,Back_Hit,832,130
309,92,7498,Back_Hit,799,152
310,92,7498,Back_Bounce,799,152
311,77,7517,Front_Bounce,661,469
312,48,7524,Front_Hit,619,500
313,78,7529,Front_Bounce,578,572
314,93,7557,Back_Bounce,940,217
315,94,7567,Back_Hit,979,139
316,93,7567,Back_Hit,979,139
317,94,7567,Back_Bounce,979,139
318,95,7575,Back_Hit,895,175
319,95,7575,Back_Bounce,895,175
320,79,7592,Front_Bounce,618,460
321,49,7597,Front_Hit,542,480
322,96,7626,Back_Bounce,820,239
323,96,7641,Back_Hit,876,148
324,97,7642,Back_Hit,862,150
325,97,7642,Back_Bounce,862,150
326,98,7647,Back_Bounce,816,165
327,98,7647,Back_Hit,816,165
328,80,7658,Front_Bounce,680,297
329,99,7702,Back_Bounce,920,218
330,100,7712,Back_Bounce,970,145
331,99,7712,Back_Hit,970,145
332,100,7712,Back_Hit,970,145
333,101,7722,Back_Bounce,839,191
334,101,7722,Back_Hit,839,191
335,81,7738,Front_Bounce,542,461
336,50,7746,Front_Hit,413,491
337,82,7751,Front_Bounce,309,553
338,102,7780,Back_Bounce,784,227
339,102,7793,Back_Hit,849,143
340,103,7797,Back_Bounce,814,161
341,103,7797,Back_Hit,814,161
342,51,7818,Front_Hit,471,478
343,104,7879,Back_Bounce,993,219
344,104,7892,Back_Hit,961,163
345,105,7903,Back_Hit,797,210
346,105,7903,Back_Bounce,797,210
347,52,7926,Front_Hit,485,348
348,83,8041,Front_Bounce,1019,341
349,106,8192,Back_Bounce,648,95
350,106,8192,Back_Hit,648,95
351,107,8710,Back_Bounce,866,323
352,108,8730,Back_Bounce,531,237
353,107,8740,Back_Hit,449,131
354,109,8753,Back_Bounce,409,92
355,108,8753,Back_Hit,409,92
356,109,8753,Back_Hit,409,92
357,84,8768,Front_Bounce,434,122
358,110,8783,Back_Bounce,451,137
359,110,8783,Back_Hit,451,137
360,111,8805,Back_Bounce,459,146
361,111,8816,Back_Hit,464,133
362,112,8818,Back_Bounce,465,137
363,113,8825,Back_Bounce,469,145
364,113,8829,Back_Hit,470,134
365,112,8829,Back_Hit,470,134
366,85,8830,Front_Bounce,712,597
367,53,8834,Front_Hit,778,581
368,114,8863,Back_Hit,776,76
369,114,8863,Back_Bounce,776,76
370,115,9132,Back_Bounce,830,320
371,116,9151,Back_Bounce,691,252
372,115,9162,Back_Hit,649,132
373,116,9165,Back_Hit,639,115
374,117,9168,Back_Hit,637,126
375,117,9168,Back_Bounce,637,126
376,86,9187,Front_Bounce,702,439
377,54,9192,Front_Hit,725,462
378,118,9220,Back_Bounce,790,318
379,118,9231,Back_Hit,779,306
380,119,9242,Back_Bounce,770,347
381,55,9245,Front_Hit,769,340
382,119,9248,Back_Hit,767,335
383,120,9253,Back_Bounce,765,341
384,120,9254,Back_Hit,762,339
385,56,9279,Front_Hit,743,364
386,121,9297,Back_Bounce,748,291
387,87,9322,Front_Bounce,1511,751
388,121,9326,Back_Hit,481,283
389,88,9373,Front_Bounce,1084,757
390,57,9386,Front_Hit,1185,757
391,89,9472,Front_Bounce,1041,751
392,90,9475,Front_Bounce,1515,775
393,91,9478,Front_Bounce,1510,776
394,92,9577,Front_Bounce,150,648
395,58,9591,Front_Hit,444,633
396,93,9592,Front_Bounce,823,735
397,94,9596,Front_Bounce,533,630
398,95,9604,Front_Bounce,648,628
399,59,9613,Front_Hit,771,624
400,96,9629,Front_Bounce,524,639
401,97,9632,Front_Bounce,767,725
402,98,9643,Front_Bounce,774,726
403,99,9839,Front_Bounce,673,513
404,122,9868,Back_Bounce,650,319
405,123,9885,Back_Bounce,972,235
406,123,9894,Back_Hit,1016,121
407,122,9894,Back_Hit,1016,121
408,124,9915,Back_Hit,1004,140
409,124,9915,Back_Bounce,1004,140
410,100,9926,Front_Bounce,989,281
411,60,9952,Front_Hit,960,468
412,101,9959,Front_Bounce,950,565
413,102,9965,Front_Bounce,941,676
414,103,9980,Front_Bounce,935,736
415,125,10216,Back_Bounce,630,319
416,126,10234,Back_Bounce,811,248
417,125,10246,Back_Hit,834,117
418,126,10250,Back_Hit,831,99
419,127,10255,Back_Hit,831,112
420,127,10255,Back_Bounce,831,112
421,104,10262,Front_Bounce,820,184
422,105,10265,Front_Bounce,816,230
423,61,10282,Front_Hit,783,466
