,index,point,frame,ballx,bally,playerAx,playerAy,playerBx,playerBy,hitplayer,bouncehit,foreback,direction
67,67,11,7539.0,8.91,-3.45,7.52,-3.45,0.43,26.72,Nakashima,Hit,Back,Cross
68,68,11,7564.0,8.91,22.09,,,,,Nakashima,Bounce,,Cross
69,69,11,7579.0,9.47,27.18,5.24,-3.23,6.93,27.18,Nakashima,Hit,Fore,Cross
70,70,11,7711.0,,,,,,,Nakashima,NoBounce,,
71,71,11,7714.0,4.93,1.68,5.18,1.68,4.2,26.84,Nakashima,Hit,Fore,Cross
72,72,11,7726.0,3.8,18.45,,,,,Nakashima,Bounce,,Cross
73,73,11,7736.0,2.32,27.04,5.25,3.9,2.88,27.04,Nakashima,Hit,Back,Cross
74,74,11,7762.0,,,,,,,Nakashima,NoBounce,,
75,75,11,7764.0,2.85,6.67,3.47,6.67,4.15,26.5,Nakashima,Hit,Fore,Cross
76,76,13,8805.0,6.69,15.17,,,,,Nakashima,Bounce,,Cross
77,77,13,8820.0,7.6,23.23,5.56,-1.29,8.4,23.23,Nakashima,Hit,Back,Cross
78,78,13,8842.0,6.38,5.08,,,,,Nakashima,Bounce,,Cross
79,79,13,8858.0,6.29,-2.29,5.21,-2.29,5.81,23.9,Nakashima,Hit,Back,Cross
80,80,13,8888.0,9.48,22.87,,,,,Nakashima,Bounce,,Cross
81,81,13,8894.0,10.39,25.79,4.98,-3.33,8.38,25.79,Nakashima,Hit,Fore,Cross
82,82,14,9427.0,1.62,17.57,,,,,Nakashima,Bounce,,Cross
83,83,14,9436.0,-1.48,23.75,7.43,-0.07,0.6,23.75,Nakashima,Hit,Back,Cross
84,84,14,9459.0,6.62,3.24,,,,,Nakashima,Bounce,,Cross
85,85,14,9468.0,8.31,-1.07,7.29,-1.07,0.77,22.52,Nakashima,Hit,Back,Cross
86,86,14,9497.0,7.74,22.35,,,,,Nakashima,Bounce,,Cross
87,87,14,9504.0,7.74,24.57,5.11,-1.42,6.06,24.57,Nakashima,Hit,Fore,Cross
88,88,17,10821.0,4.14,16.59,,,,,Nakashima,Bounce,,Cross
89,89,17,10831.0,1.94,23.79,7.35,-0.86,1.67,23.79,Nakashima,Hit,Fore,Cross
90,90,17,10861.0,4.39,4.91,,,,,Nakashima,Bounce,,Cross
91,91,17,10873.0,4.9,1.02,5.79,1.02,4.07,24.5,Nakashima,Hit,Fore,Cross
92,92,18,11402.0,6.29,17.34,,,,,Nakashima,Bounce,,Cross
93,93,18,11413.0,6.91,25.59,5.04,-0.81,7.79,25.59,Nakashima,Hit,Back,Cross
94,94,18,11443.0,4.23,1.42,,,,,Nakashima,Bounce,,Cross
95,95,18,11451.0,4.06,-1.78,4.84,-1.78,5.96,25.18,Nakashima,Hit,Fore,Cross
96,96,18,11502.0,5.53,12.95,,,,,Nakashima,Bounce,,Cross
97,97,18,11530.0,6.19,15.19,5.49,-0.82,5.6,15.19,Nakashima,Hit,Fore,Cross
98,98,18,11557.0,1.54,8.06,,,,,Nakashima,Bounce,,Cross
99,99,18,11580.0,-0.18,6.42,0.94,6.42,4.25,15.71,Nakashima,Hit,Fore,Cross
100,100,20,12453.0,2.91,15.53,,,,,Nakashima,Bounce,,Cross
101,101,20,12466.0,-0.01,22.47,7.64,-1.13,1.49,22.47,Nakashima,Hit,Back,Cross
102,102,20,12494.0,9.27,2.57,,,,,Nakashima,Bounce,,Cross
103,103,20,12504.0,11.25,-2.94,10.05,-2.94,3.05,23.01,Nakashima,Hit,Back,Cross
104,104,20,12543.0,2.54,20.13,,,,,Nakashima,Bounce,,Cross
105,105,20,12553.0,0.56,24.06,7.57,-2.51,2.06,24.06,Nakashima,Hit,Back,Cross
106,106,20,12576.0,2.35,2.13,,,,,Nakashima,Bounce,,Cross
107,107,20,12588.0,2.32,-3.85,3.57,-3.85,3.79,22.36,Nakashima,Hit,Fore,Cross
108,108,20,12621.0,,,,,,,Nakashima,NoBounce,,
109,109,20,12629.0,2.57,-33.3,-19.03,-33.3,-19.03,-33.3,Nakashima,Hit,Fore,Cross
110,110,20,12652.0,8.36,8.7,,,,,Nakashima,Bounce,,Cross
111,111,21,13583.0,2.27,6.79,,,,,Nishioka,Bounce,,Cross
112,112,21,13596.0,-1.24,-3.16,0.46,-3.16,6.59,23.62,Nishioka,Hit,Fore,Cross
113,113,21,13622.0,6.9,15.83,,,,,Nishioka,Bounce,,Cross
114,114,21,13641.0,10.22,22.47,2.44,-2.78,8.63,22.47,Nishioka,Hit,Fore,Cross
115,115,21,13674.0,8.23,0.35,,,,,Nishioka,Bounce,,Cross
116,116,21,13690.0,8.21,-5.44,6.82,-5.44,6.48,18.04,Nishioka,Hit,Back,Cross
117,117,21,13716.0,9.22,20.03,,,,,Nishioka,Bounce,,Cross
