,index,StartFrame,EndFrame,Set,Game,Score,ScoreResult,FirstSecond,Server,PointWinner,PointWinA,PointWinB,PointPattern,Fault,ContactServeX,ContactServeY,Court1X,Court1Y,Court2X,Court2Y,Court3X,Court3Y,Court4X,Court4Y
174,174,145329,145640,,,,,1,,,2,2,フォルト,1,0,0,0,0,0,0,0,0,0,0
175,175,145641,146658,1-0,4-4,30-15,30-30,2,Nishioka,Nishioka,0,1,ストロークエラー,0,0,0,0,0,0,0,0,0,0,0
176,176,146659,147205,1-0,4-4,30-30,30-40,1,Nishioka,Nishioka,0,1,リターンエラー,0,0,0,0,0,0,0,0,0,0,0
177,177,147206,147484,,,,,1,,,2,2,フォルト,1,0,0,0,0,0,0,0,0,0,0
178,178,147485,151054,1-0,4-4,30-40,0-0,2,Nishioka,Nishioka,0,1,リターンエラー,0,0,0,0,0,0,0,0,0,0,0
179,179,151055,151344,,,,,1,,,2,2,フォルト,1,0,0,0,0,0,0,0,0,0,0
180,180,151345,152569,1-0,4-5,0-0,0-15,2,Nakashima,Nishioka,0,1,ストロークウィナー,0,0,0,0,0,0,0,0,0,0,0
181,181,152570,153615,1-0,4-5,0-15,15-15,1,Nakashima,Nakashima,1,0,ストロークエラー,0,0,0,0,0,0,0,0,0,0,0
182,182,153616,154154,1-0,4-5,15-15,30-15,1,Nakashima,Nakashima,1,0,サービスエース,0,0,0,0,0,0,0,0,0,0,0
183,183,154155,154487,,,,,1,,,2,2,フォルト,1,0,0,0,0,0,0,0,0,0,0
184,184,154488,155081,1-0,4-5,30-15,40-15,2,Nakashima,Nakashima,1,0,ストロークエラー,0,0,0,0,0,0,0,0,0,0,0
185,185,155082,156277,1-0,4-5,40-15,0-0,1,Nakashima,Nakashima,1,0,ストロークエラー,0,0,0,0,0,0,0,0,0,0,0
186,186,156278,157530,1-0,5-5,0-0,0-15,1,Nishioka,Nishioka,0,1,ストロークエラー,0,0,0,0,0,0,0,0,0,0,0
187,187,157531,157800,,,,,1,,,2,2,フォルト,1,0,0,0,0,0,0,0,0,0,0
188,188,157801,158503,1-0,5-5,0-15,15-15,2,Nishioka,Nakashima,1,0,ストロークウィナー,0,0,0,0,0,0,0,0,0,0,0
189,189,158504,159123,1-0,5-5,15-15,15-30,1,Nishioka,Nishioka,0,1,ストロークエラー,0,0,0,0,0,0,0,0,0,0,0
190,190,159124,159853,1-0,5-5,15-30,15-40,1,Nishioka,,2,2,フォルト,1,0,0,0,0,0,0,0,0,0,0
191,191,159854,160946,1-0,5-5,15-30,15-40,2,Nishioka,Nishioka,0,1,ストロークエラー,0,0,0,0,0,0,0,0,0,0,0
192,192,160947,161242,,,,,1,,,2,2,フォルト,1,0,0,0,0,0,0,0,0,0,0
193,193,161243,166191,1-0,5-5,15-40,0-0,2,Nishioka,Nishioka,0,1,サービスエース,0,0,0,0,0,0,0,0,0,0,0
194,194,166192,166450,,,,,1,,,2,2,フォルト,1,0,0,0,0,0,0,0,0,0,0
195,195,166451,168183,1-0,5-6,0-0,0-15,2,Nakashima,Nishioka,0,1,ストロークウィナー,0,0,0,0,0,0,0,0,0,0,0
196,196,168184,168466,,,,,1,,,2,2,フォルト,1,0,0,0,0,0,0,0,0,0,0
197,197,168467,169448,1-0,5-6,0-15,0-30,2,Nakashima,Nishioka,0,1,ストロークエラー,0,0,0,0,0,0,0,0,0,0,0
198,198,169449,169693,1-0,5-6,0-30,15-30,1,Nakashima,Nakashima,1,0,ストロークウィナー,0,0,0,0,0,0,0,0,0,0,0
199,199,169694,170654,,,,,1,,,2,2,フォルト,1,0,0,0,0,0,0,0,0,0,0
200,200,170655,171416,1-0,5-6,15-30,30-30,2,Nakashima,Nakashima,1,0,ストロークエラー,0,0,0,0,0,0,0,0,0,0,0
201,201,171417,171706,,,,,1,,,2,2,フォルト,1,0,0,0,0,0,0,0,0,0,0
202,202,171707,172563,1-0,5-6,30-30,30-40,2,Nakashima,Nishioka,0,1,ストロークエラー,0,0,0,0,0,0,0,0,0,0,0
203,203,172564,173089,1-0,5-6,30-40,40-40,1,Nakashima,Nakashima,1,0,サービスエース,0,0,0,0,0,0,0,0,0,0,0
204,204,173090,174180,1-0,5-6,40-40,Ad-40,1,Nakashima,Nakashima,1,0,ボレーウィナー,0,0,0,0,0,0,0,0,0,0,0
205,205,174181,174956,1-0,5-6,Ad-40,0-0,1,Nakashima,Nakashima,1,0,サービスエース,0,0,0,0,0,0,0,0,0,0,0
206,206,174957,175930,1-0,6-6,0-0,0-1,1,Nishioka,Nishioka,0,1,ボレーウィナー,0,0,0,0,0,0,0,0,0,0,0
207,207,175931,176625,1-0,6-6,0-1,1-1,1,Nakashima,Nakashima,1,0,ストロークエラー,0,0,0,0,0,0,0,0,0,0,0
208,208,176626,177793,1-0,6-6,1-1,2-1,1,Nakashima,Nakashima,1,0,サービスエース,0,0,0,0,0,0,0,0,0,0,0
209,209,177794,178479,1-0,6-6,2-1,2-2,1,Nishioka,Nishioka,0,1,ストロークウィナー,0,0,0,0,0,0,0,0,0,0,0
210,210,178480,179399,1-0,6-6,2-2,2-3,1,Nishioka,Nishioka,0,1,ストロークエラー,0,0,0,0,0,0,0,0,0,0,0
211,211,179400,181115,1-0,6-6,2-3,3-3,1,Nakashima,Nakashima,1,0,ストロークエラー,0,0,0,0,0,0,0,0,0,0,0
212,212,181116,181395,,,,,1,,,2,2,フォルト,1,0,0,0,0,0,0,0,0,0,0
213,213,181396,182691,1-0,6-6,3-3,3-4,2,Nakashima,Nishioka,0,1,ストロークエラー,0,0,0,0,0,0,0,0,0,0,0
214,214,182692,182936,,,,,1,,,2,2,フォルト,1,0,0,0,0,0,0,0,0,0,0
215,215,182937,184466,1-0,6-6,3-4,3-5,2,Nishioka,Nishioka,0,1,ボレーエラー,0,0,0,0,0,0,0,0,0,0,0
216,216,184467,185800,1-0,6-6,3-5,3-6,1,Nishioka,Nishioka,0,1,ストロークエラー,0,0,0,0,0,0,0,0,0,0,0
217,217,185801,186190,,,,,1,,,2,2,フォルト,1,0,0,0,0,0,0,0,0,0,0
218,218,186191,187159,1-0,6-6,3-6,4-6,2,Nakashima,Nakashima,1,0,リターンエラー,0,0,0,0,0,0,0,0,0,0,0
219,219,187160,187815,,,,,1,,,2,2,フォルト,1,0,0,0,0,0,0,0,0,0,0
220,220,187816,189003,1-0,6-6,4-6,5-6,2,Nakashima,Nakashima,1,0,ボレーウィナー,0,0,0,0,0,0,0,0,0,0,0
