,index,StartFrame,EndFrame,Set,Game,Score,ScoreResult,FirstSecond,Server,PointWinner,PointWinA,PointWinB,PointPattern,Fault,ContactServeX,ContactServeY,Court1X,Court1Y,Court2X,Court2Y,Court3X,Court3Y,Court4X,Court4Y
73,73,34009,34045,,,,,0,,,,,,,0,0,0,0,0,0,0,0,0,0
74,74,34081,34186,,,,,0,,,,,,,0,0,0,0,0,0,0,0,0,0
75,75,34341,34557,,,,,0,,,,,,,0,0,0,0,0,0,0,0,0,0
76,76,35298,35483,,,,,0,,,,,,,0,0,0,0,0,0,0,0,0,0
77,77,35542,35622,,,,,0,,,,,,,0,0,0,0,0,0,0,0,0,0
78,78,35970,36244,,,,,0,,,,,,,0,0,0,0,0,0,0,0,0,0
79,79,36618,36739,,,,,0,,,,,,,0,0,0,0,0,0,0,0,0,0
80,80,37163,37468,,,,,0,,,,,,,0,0,0,0,0,0,0,0,0,0
81,81,37920,38071,,,,,0,,,,,,,0,0,0,0,0,0,0,0,0,0
82,82,38152,38305,,,,,0,,,,,,,0,0,0,0,0,0,0,0,0,0
83,83,38663,38805,,,,,0,,,,,,,0,0,0,0,0,0,0,0,0,0
84,84,38870,39110,,,,,0,,,,,,,0,0,0,0,0,0,0,0,0,0
85,85,42877,43134,,,,,0,,,,,,,0,0,0,0,0,0,0,0,0,0
86,86,43569,43838,,,,,0,,,,,,,0,0,0,0,0,0,0,0,0,0
87,87,44350,44591,,,,,0,,,,,,,0,0,0,0,0,0,0,0,0,0
88,88,44712,44957,,,,,0,,,,,,,0,0,0,0,0,0,0,0,0,0
89,89,45201,45215,,,,,0,,,,,,,0,0,0,0,0,0,0,0,0,0
90,90,45218,45217,,,,,0,,,,,,,0,0,0,0,0,0,0,0,0,0
91,91,45279,45331,,,,,0,,,,,,,0,0,0,0,0,0,0,0,0,0
92,92,45408,45407,,,,,0,,,,,,,0,0,0,0,0,0,0,0,0,0
93,93,45413,45412,,,,,0,,,,,,,0,0,0,0,0,0,0,0,0,0
94,94,45415,45414,,,,,0,,,,,,,0,0,0,0,0,0,0,0,0,0
95,95,45420,45419,,,,,0,,,,,,,0,0,0,0,0,0,0,0,0,0
96,96,45539,45777,,,,,0,,,,,,,0,0,0,0,0,0,0,0,0,0
97,97,45875,46024,,,,,0,,,,,,,0,0,0,0,0,0,0,0,0,0
98,98,46613,46947,,,,,0,,,,,,,0,0,0,0,0,0,0,0,0,0
99,99,47505,48112,,,,,0,,,,,,,0,0,0,0,0,0,0,0,0,0
100,100,48877,49062,,,,,0,,,,,,,0,0,0,0,0,0,0,0,0,0
101,101,49124,49284,,,,,0,,,,,,,0,0,0,0,0,0,0,0,0,0
102,102,49701,49905,,,,,0,,,,,,,0,0,0,0,0,0,0,0,0,0
103,103,49977,50148,,,,,0,,,,,,,0,0,0,0,0,0,0,0,0,0
104,104,50506,50648,,,,,0,,,,,,,0,0,0,0,0,0,0,0,0,0
105,105,50670,50828,,,,,0,,,,,,,0,0,0,0,0,0,0,0,0,0
106,106,51021,51213,,,,,0,,,,,,,0,0,0,0,0,0,0,0,0,0
107,107,51277,52358,,,,,0,,,,,,,0,0,0,0,0,0,0,0,0,0
108,108,53331,53518,,,,,0,,,,,,,0,0,0,0,0,0,0,0,0,0
109,109,53631,53866,,,,,0,,,,,,,0,0,0,0,0,0,0,0,0,0
110,110,54176,54238,,,,,0,,,,,,,0,0,0,0,0,0,0,0,0,0
