,StartFrame,EndFrame
484,184647.0,184648.0
485,184653.0,184654.0
486,184695.0,184696.0
487,184749.0,184750.0
488,184797.0,184798.0
489,184803.0,184804.0
490,184810.0,184810.0
491,184858.0,184858.0
492,184935.0,184936.0
493,184941.0,184942.0
494,184947.0,184948.0
495,184954.0,184954.0
496,184989.0,184990.0
497,184995.0,184996.0
498,185001.0,185002.0
499,185091.0,185091.0
500,187305.0,187305.0
501,187984.0,187984.0
502,187986.0,187987.0
503,188057.0,188057.0
504,188278.0,188278.0
505,189039.0,189041.0
506,191111.0,191111.0
507,195832.0,195834.0
508,195839.0,195840.0
509,195881.0,195882.0
510,197014.0,197015.0
511,197345.0,197347.0
512,198564.0,198564.0
513,198570.0,198570.0
514,199308.0,199311.0
515,199313.0,199313.0
516,199315.0,199317.0
517,199956.0,199957.0
518,199992.0,199993.0
519,201127.0,201127.0
520,201132.0,201133.0
521,203135.0,203137.0
522,207675.0,207675.0
523,208263.0,215732.0
