,index,StartFrame,EndFrame,Set,Game,Score,ScoreResult,FirstSecond,Server,PointWinner,PointWinA,PointWinB,PointPattern,Fault,ContactServeX,ContactServeY,Court1X,Court1Y,Court2X,Court2Y,Court3X,Court3Y,Court4X,Court4Y
42,42,39260,39366,0-0,2-4,15-40,,1,Tsitsipas,,,,フォルト,,0,0,0,0,0,0,0,0,0,0
43,43,39527,40117,0-0,2-4,15-40,0-0,1,Tsitsipas,Tsitsipas,1,0,ストロークエラー,0,0,0,0,0,0,0,0,0,0,0
44,44,44829,45376,0-0,2-5,0-0,0-15,1,Nishikori,Nishikori,0,1,ストロークエラー,0,0,0,0,0,0,0,0,0,0,0
45,45,46181,46421,0-0,2-5,15-0,15-15,1,Nishikori,Tsitsipas,1,0,ストロークエラー,0,0,0,0,0,0,0,0,0,0,0
46,46,47008,47125,0-0,2-5,15-15,,1,Nishikori,,,,フォルト,,0,0,0,0,0,0,0,0,0,0
47,47,47370,47785,0-0,2-5,15-15,30-15,1,Nishikori,Tsitsipas,1,0,ボレーウィナー,0,0,0,0,0,0,0,0,0,0,0
48,48,48799,49177,0-0,2-5,30-15,30-30,1,Nishikori,Nishikori,0,1,ボレーウィナー,0,0,0,0,0,0,0,0,0,0,0
49,49,49905,50242,0-0,2-5,30-30,30-40,1,Nishikori,Nishikori,0,1,ボレーウィナー,0,0,0,0,0,0,0,0,0,0,0
50,50,50998,51201,0-0,2-5,40-30,0-0,1,Nishikori,Nishikori,0,1,ストロークエラー,0,0,0,0,0,0,0,0,0,0,0
51,51,52230,52825,0-0,3-5,0-0,15-0,1,Tsitsipas,Tsitsipas,1,0,ストロークウィナー,0,0,0,0,0,0,0,0,0,0,0
52,52,53583,53719,0-0,3-5,0-15,,1,Tsitsipas,,,,フォルト,,0,0,0,0,0,0,0,0,0,0
53,53,53863,53992,0-0,3-5,0-15,30-0,1,Tsitsipas,Tsitsipas,1,0,リターンエラー,0,0,0,0,0,0,0,0,0,0,0
54,54,54478,54583,0-0,3-5,0-30,40-0,1,Tsitsipas,Tsitsipas,1,0,サービスエース,0,0,0,0,0,0,0,0,0,0,0
55,55,55041,55185,0-0,3-5,0-40,0-0,1,Tsitsipas,Tsitsipas,1,0,リターンエラー,0,0,0,0,0,0,0,0,0,0,0
56,56,60542,60579,0-0,3-6,0-0,,1,Tsitsipas,,,,フォルト,,0,0,0,0,0,0,0,0,0,0
57,57,60821,61016,0-0,3-6,0-0,0-15,1,Nishikori,Nishikori,0,1,ストロークエラー,0,0,0,0,0,0,0,0,0,0,0
58,58,61562,61697,0-0,3-6,15-0,0-30,1,Nishikori,Nishikori,0,1,サービスエース,0,0,0,0,0,0,0,0,0,0,0
59,59,62129,62224,0-1,0-0,30-0,,1,Tsitsipas,,,,フォルト,,0,0,0,0,0,0,0,0,0,0
60,60,62531,62652,0-1,0-0,30-0,0-40,1,Nishikori,Nishikori,0,1,リターンエラー,0,0,0,0,0,0,0,0,0,0,0
61,61,63051,63207,0-1,0-0,40-0,15-40,1,Nishikori,Tsitsipas,1,0,ボレーエラー,0,0,0,0,0,0,0,0,0,0,0
62,62,63726,64028,0-1,0-0,40-15,30-40,1,Nishikori,Tsitsipas,1,0,ストロークエラー,0,0,0,0,0,0,0,0,0,0,0
63,63,64809,65025,0-1,0-0,40-30,40-40,1,Nishikori,Tsitsipas,1,0,ストロークウィナー,0,0,0,0,0,0,0,0,0,0,0
64,64,65685,65953,0-1,0-0,40-40,Ad-40,1,Nishikori,Tsitsipas,1,0,ストロークエラー,0,0,0,0,0,0,0,0,0,0,0
65,65,66632,67355,0-1,0-0,40-Ad,40-40,1,Nishikori,Nishikori,0,1,ボレーウィナー,0,0,0,0,0,0,0,0,0,0,0
66,66,68192,68326,0-1,0-0,40-40,,1,Nishikori,,,,フォルト,,0,0,0,0,0,0,0,0,0,0
67,67,68979,69127,0-1,0-0,40-40,40-Ad,1,Nishikori,Nishikori,0,1,リターンエラー,0,0,0,0,0,0,0,0,0,0,0
68,68,69648,70151,0-1,0-0,Ad-40,0-0,1,Nishikori,Nishikori,0,1,ストロークエラー,0,0,0,0,0,0,0,0,0,0,0
69,69,71985,72225,0-1,1-0,0-0,0-15,1,Tsitsipas,Nishikori,0,1,ストロークエラー,0,0,0,0,0,0,0,0,0,0,0
70,70,72818,72933,0-1,1-0,15-0,15-15,1,Tsitsipas,Tsitsipas,1,0,サービスエース,0,0,0,0,0,0,0,0,0,0,0
71,71,73384,73502,0-1,1-0,15-15,,1,Nishikori,,,,フォルト,,0,0,0,0,0,0,0,0,0,0
72,72,73633,74115,0-1,1-0,15-15,15-30,1,Tsitsipas,Nishikori,0,1,ストロークエラー,0,0,0,0,0,0,0,0,0,0,0
73,73,75034,75398,0-1,1-0,30-15,15-40,1,Tsitsipas,Nishikori,0,1,ボレーウィナー,0,0,0,0,0,0,0,0,0,0,0
74,74,76325,78790,0-1,1-0,40-15,0-0,1,Tsitsipas,Nishikori,0,1,サービスエース,0,0,0,0,0,0,0,0,0,0,0
75,75,78791,78915,0-1,2-0,0-0,,1,Tsitsipas,,,,フォルト,,0,0,0,0,0,0,0,0,0,0
76,76,79128,79657,0-1,2-0,0-0,0-15,1,Nishikori,Nishikori,0,1,ストロークウィナー,0,0,0,0,0,0,0,0,0,0,0
77,77,80372,80581,0-1,2-0,15-0,15-15,1,Nishikori,Tsitsipas,1,0,ストロークエラー,0,0,0,0,0,0,0,0,0,0,0
78,78,81265,81377,0-1,2-0,15-15,,1,Tsitsipas,,,,フォルト,,0,0,0,0,0,0,0,0,0,0
79,79,81653,82169,0-1,2-0,15-15,30-15,1,Nishikori,Tsitsipas,1,0,ストロークエラー,0,0,0,0,0,0,0,0,0,0,0
80,80,83066,83296,0-1,2-0,15-30,30-30,1,Nishikori,Nishikori,0,1,ストロークエラー,0,0,0,0,0,0,0,0,0,0,0
81,81,84065,84174,0-1,2-0,30-30,,1,Tsitsipas,,,,フォルト,,0,0,0,0,0,0,0,0,0,0
82,82,84544,85109,0-1,2-0,30-30,30-40,1,Nishikori,Nishikori,0,1,ストロークウィナー,0,0,0,0,0,0,0,0,0,0,0
83,83,85912,86062,0-1,2-0,40-30,40-40,1,Nishikori,Tsitsipas,1,0,ボレーエラー,0,0,0,0,0,0,0,0,0,0,0
84,84,86785,86919,0-1,2-0,40-40,,1,Tsitsipas,,,,フォルト,,0,0,0,0,0,0,0,0,0,0
85,85,87435,87902,0-1,2-0,40-40,Ad-40,1,Nishikori,Tsitsipas,1,0,ストロークエラー,0,0,0,0,0,0,0,0,0,0,0
86,86,88671,88814,0-1,2-0,40-Ad,40-40,1,Nishikori,Nishikori,0,1,リターンエラー,0,0,0,0,0,0,0,0,0,0,0
87,87,89427,89634,0-0,2-0,40-40,40-Ad,1,Nishikori,Nishikori,0,1,ストロークウィナー,0,0,0,0,0,0,0,0,0,0,0
88,88,90552,90788,0-1,2-0,40-Ad,,1,Tsitsipas,,,,フォルト,,0,0,0,0,0,0,0,0,0,0
89,89,91468,91772,0-1,2-0,40-40,0-0,1,Nishikori,Nishikori,0,1,ボレーウィナー,0,0,0,0,0,0,0,0,0,0,0
90,90,92542,92757,0-1,2-0,Ad-40,0-15,1,Tsitsipas,Nishikori,0,1,ストロークエラー,0,0,0,0,0,0,0,0,0,0,0
91,91,96678,96838,0-0,3-0,0-0,15-15,1,Tsitsipas,Tsitsipas,1,0,ストロークウィナー,0,0,0,0,0,0,0,0,0,0,0
92,92,97394,97650,0-1,3-0,0-15,30-15,1,Tsitsipas,Tsitsipas,1,0,ストロークエラー,0,0,0,0,0,0,0,0,0,0,0
93,93,98155,98281,0-1,3-0,0-30,40-15,1,Tsitsipas,Tsitsipas,1,0,リターンエラー,0,0,0,0,0,0,0,0,0,0,0
94,94,99023,99181,0-1,3-0,0-40,0-0,1,Tsitsipas,Tsitsipas,1,0,ストロークウィナー,0,0,0,0,0,0,0,0,0,0,0
95,95,100170,100371,0-0,3-1,0-0,15-0,1,Nishikori,Tsitsipas,1,0,ストロークエラー,0,0,0,0,0,0,0,0,0,0,0
96,96,100999,101127,0-1,3-1,0-15,,1,Tsitsipas,,,,フォルト,,0,0,0,0,0,0,0,0,0,0
97,97,101596,101688,0-1,3-1,0-15,,2,Tsitsipas,,,,ダブルフォルト,,0,0,0,0,0,0,0,0,0,0
98,98,101956,102933,0-0,3-1,0-15,15-15,1,Nishikori,Nishikori,0,1,ストロークエラー,0,0,0,0,0,0,0,0,0,0,0
99,99,103970,104085,0-0,3-1,15-15,15-30,1,Nishikori,Nishikori,0,1,リターンエラー,0,0,0,0,0,0,0,0,0,0,0
100,100,104712,104828,0-1,3-1,30-15,,1,Tsitsipas,,,,フォルト,,0,0,0,0,0,0,0,0,0,0
101,101,105150,105339,0-0,3-1,30-15,15-40,1,Nishikori,Nishikori,0,1,ストロークウィナー,0,0,0,0,0,0,0,0,0,0,0
102,102,105928,106047,0-0,3-1,40-15,0-0,1,Nishikori,Nishikori,0,1,リターンエラー,0,0,0,0,0,0,0,0,0,0,0
103,103,109894,110024,0-1,4-1,0-0,,1,Nishikori,,,,フォルト,,0,0,0,0,0,0,0,0,0,0
104,104,110160,110674,0-1,4-1,0-0,15-0,1,Tsitsipas,Tsitsipas,1,0,ストロークエラー,0,0,0,0,0,0,0,0,0,0,0
105,105,111242,111373,0-1,0-0,0-15,30-0,1,Tsitsipas,Tsitsipas,1,0,リターンエラー,0,0,0,0,0,0,0,0,0,0,0
106,106,111813,111911,0-1,4-1,0-30,40-0,1,Tsitsipas,Tsitsipas,1,0,サービスエース,0,0,0,0,0,0,0,0,0,0,0
107,107,112296,112396,0-1,4-1,0-40,0-0,1,Tsitsipas,Tsitsipas,1,0,サービスエース,0,0,0,0,0,0,0,0,0,0,0
108,108,113467,113753,0-1,4-2,0-0,0-15,1,Nishikori,Nishikori,0,1,ストロークウィナー,0,0,0,0,0,0,0,0,0,0,0
109,109,114390,114620,0-1,4-2,15-0,0-30,1,Nishikori,Nishikori,0,1,ストロークウィナー,0,0,0,0,0,0,0,0,0,0,0
110,110,115231,115434,0-1,4-2,30-0,0-40,1,Nishikori,Nishikori,0,1,ストロークエラー,0,0,0,0,0,0,0,0,0,0,0
111,111,115970,116321,0-1,4-2,40-0,15-40,1,Nishikori,Tsitsipas,1,0,ストロークエラー,0,0,0,0,0,0,0,0,0,0,0
112,112,117145,117365,0-1,4-2,40-15,30-40,1,Nishikori,Tsitsipas,1,0,ストロークエラー,0,0,0,0,0,0,0,0,0,0,0
113,113,117985,118449,0-1,4-2,40-30,0-0,1,Nishikori,Nishikori,0,1,ストロークウィナー,0,0,0,0,0,0,0,0,0,0,0
114,114,123780,123919,0-1,5-2,0-0,15-0,1,Tsitsipas,Tsitsipas,1,0,リターンエラー,0,0,0,0,0,0,0,0,0,0,0
115,115,124346,124441,0-1,5-2,0-15,30-0,1,Tsitsipas,Tsitsipas,1,0,サービスエース,0,0,0,0,0,0,0,0,0,0,0
116,116,124861,125140,0-1,5-2,0-30,,1,Nishikori,Tsitsipas,1,0,ストロークエラー,0,0,0,0,0,0,0,0,0,0,0
117,117,125642,125737,0-0,5-2,0-40,15-0,1,Tsitsipas,Tsitsipas,1,0,サービスエース,0,0,0,0,0,0,0,0,0,0,0
118,118,126789,126932,0-1,5-3,0-0,,1,Tsitsipas,,,,フォルト,,0,0,0,0,0,0,0,0,0,0
119,119,127085,127852,0-1,5-3,0-0,30-0,1,Tsitsipas,Tsitsipas,1,0,ストロークエラー,0,0,0,0,0,0,0,0,0,0,0
120,120,128521,128695,0-1,5-3,0-15,30-15,1,Tsitsipas,Nishikori,0,1,リターンエラー,0,0,0,0,0,0,0,0,0,0,0
121,121,129259,129450,0-1,5-3,15-15,40-15,1,Tsitsipas,Tsitsipas,1,0,ストロークエラー,0,0,0,0,0,0,0,0,0,0,0
122,122,130188,130292,0-1,5-3,15-30,,2,Tsitsipas,,,,フォルト,,0,0,0,0,0,0,0,0,0,0
123,123,130564,130917,0-1,5-3,15-30,40-30,1,Tsitsipas,Nishikori,0,1,ストロークエラー,0,0,0,0,0,0,0,0,0,0,0
124,124,131607,131762,0-1,5-3,30-30,,1,Tsitsipas,,,,フォルト,,0,0,0,0,0,0,0,0,0,0
125,125,132034,132309,0-1,5-3,30-30,40-40,1,Tsitsipas,Nishikori,0,1,ストロークエラー,0,0,0,0,0,0,0,0,0,0,0
126,126,133077,133191,0-1,5-3,40-30,,1,Tsitsipas,,,,フォルト,,0,0,0,0,0,0,0,0,0,0
127,127,133411,134380,0-1,5-3,40-30,40-Ad,1,Tsitsipas,Nishikori,0,1,ボレーエラー,0,0,0,0,0,0,0,0,0,0,0
128,128,142180,142662,1-1,6-3,0-0,40-40,1,Tsitsipas,Tsitsipas,1,0,ストロークウィナー,0,0,0,0,0,0,0,0,0,0,0
129,129,143260,143377,1-1,0-0,0-15,,1,Tsitsipas,,,,フォルト,,0,0,0,0,0,0,0,0,0,0
130,130,143567,143750,1-1,0-0,0-15,Ad-40,1,Tsitsipas,Tsitsipas,1,0,ストロークウィナー,0,0,0,0,0,0,0,0,0,0,0
131,131,144221,144340,1-1,0-0,0-30,,2,Tsitsipas,,,,フォルト,,0,0,0,0,0,0,0,0,0,0
132,132,144480,144739,1-1,0-0,0-30,40-40,1,Tsitsipas,Nishikori,0,1,ストロークエラー,0,0,0,0,0,0,0,0,0,0,0
133,133,145561,145694,1-1,0-0,15-30,,1,Tsitsipas,,,,フォルト,,0,0,0,0,0,0,0,0,0,0
134,134,145801,146097,1-1,0-0,15-30,40-Ad,1,Tsitsipas,Nishikori,0,1,ストロークエラー,0,0,0,0,0,0,0,0,0,0,0
135,135,146745,146844,1-1,0-0,30-30,40-40,1,Tsitsipas,Tsitsipas,1,0,サービスエース,0,0,0,0,0,0,0,0,0,0,0
136,136,147271,147379,1-1,0-0,30-40,,1,Tsitsipas,,,,フォルト,,0,0,0,0,0,0,0,0,0,0
