,index,Frame,HitBounce,X_Ball,Y_Ball
167,167,13882,Back_Bounce,937,136
168,168,13889,Back_Bounce,877,172
169,169,13944,Back_Bounce,655,209
170,170,13960,Back_Bounce,693,132
171,171,14025,Back_Bounce,643,185
172,172,14043,Back_Bounce,585,150
173,173,14850,Back_Bounce,655,316
174,174,14865,Back_Bounce,947,250
175,175,14892,Back_Bounce,927,134
176,176,14954,Back_Bounce,549,228
177,177,14989,Back_Bounce,652,115
178,178,15913,Back_Bounce,715,55
179,179,16048,Back_Bounce,663,230
180,180,16065,Back_Bounce,706,142
181,181,16131,Back_Bounce,960,204
182,182,16137,Back_Bounce,585,139
183,183,16146,Back_Bounce,958,208
184,184,16163,Back_Bounce,1013,204
185,185,16172,Back_Bounce,806,256
186,186,16184,Back_Bounce,830,259
187,187,16193,Back_Bounce,847,292
188,188,16200,Back_Bounce,863,259
189,189,16243,Back_Bounce,472,83
190,190,16717,Back_Bounce,814,44
191,191,16772,Back_Bounce,762,195
192,192,16791,Back_Bounce,666,117
193,193,16805,Back_Bounce,540,179
194,194,16857,Back_Bounce,414,244
195,195,17007,Back_Bounce,872,84
196,196,17058,Back_Bounce,823,171
197,197,17077,Back_Bounce,826,165
198,198,17110,Back_Bounce,826,53
199,199,17118,Back_Bounce,824,27
200,200,17134,Back_Bounce,957,192
201,201,17181,Back_Bounce,815,238
202,202,17202,Back_Bounce,928,198
203,203,17323,Back_Bounce,1229,244
204,204,17386,Back_Bounce,745,68
205,205,17625,Back_Bounce,1028,271
206,206,17896,Back_Bounce,713,55
207,207,17949,Back_Bounce,745,138
208,208,17954,Back_Bounce,710,150
209,209,17982,Back_Bounce,685,149
210,210,18042,Back_Bounce,905,172
211,211,18085,Back_Bounce,903,105
212,212,18095,Back_Bounce,909,115
213,213,18621,Back_Bounce,779,48
214,214,18657,Back_Bounce,650,223
215,215,18663,Back_Bounce,638,259
216,216,18674,Back_Bounce,614,209
217,217,18682,Back_Bounce,598,220
218,218,18695,Back_Bounce,574,208
219,219,18716,Back_Bounce,544,204
220,220,18726,Back_Bounce,530,201
221,221,18741,Back_Bounce,807,148
222,222,18872,Back_Bounce,819,54
223,223,18926,Back_Bounce,626,185
224,224,18941,Back_Bounce,661,110
225,225,19582,Back_Bounce,655,134
226,226,19588,Back_Bounce,648,156
