,index,point,frame,ballx,bally,playerAx,playerAy,playerBx,playerBy,hitplayer,bouncehit,foreback,direction,Server,Returner,Game,winner,ballx_f,bally_f,playerAx_f,playerAy_f,playerBx_f,playerBy_f,hitplayer_x,hitplayer_y,waitplayer_x,waitplayer_y,nth
109,109,20,12629.0,2.57,-33.3,-19.03,-33.3,-19.03,-33.3,Nakashima,Hit,Fore,Cross,Nishioka,Nakashima,1-0,Nakashima,-2.9150000000000005,-45.19,-24.515,-45.19,-24.515,-45.19,-24.515,-45.19,-24.515,-45.19,9
114,114,21,13641.0,10.22,22.47,2.44,-2.78,8.63,22.47,Nakashima,Hit,Fore,Cross,Nakashima,Nishioka,2-0,Nishioka,4.735,10.579999999999998,-3.0450000000000004,-14.67,3.1450000000000005,10.579999999999998,3.1450000000000005,10.579999999999998,-3.0450000000000004,-14.67,3
121,121,22,14311.0,10.11,27.13,-7.2,-24.74,7.78,27.13,Nakashima,Hit,Fore,Cross,Nakashima,Nishioka,2-0,Nakashima,4.624999999999999,15.239999999999998,-12.685,-36.629999999999995,2.295,15.239999999999998,2.295,15.239999999999998,-12.685,-36.629999999999995,3
125,125,22,14387.0,8.36,25.16,4.29,-4.18,7.22,25.16,Nakashima,Hit,Fore,Cross,Nakashima,Nishioka,2-0,Nakashima,2.874999999999999,13.27,-1.1950000000000003,-16.07,1.7349999999999994,13.27,1.7349999999999994,13.27,-1.1950000000000003,-16.07,7
129,129,22,14473.0,10.4,25.01,4.73,-2.94,8.77,25.01,Nakashima,Hit,Fore,Cross,Nakashima,Nishioka,2-0,Nakashima,4.915,13.120000000000001,-0.7549999999999999,-14.83,3.2849999999999993,13.120000000000001,3.2849999999999993,13.120000000000001,-0.7549999999999999,-14.83,11
139,139,25,16244.0,2.11,20.03,5.52,-2.77,1.6,20.03,Nakashima,Hit,Fore,Cross,Nakashima,Nishioka,2-0,Nishioka,-3.3750000000000004,8.14,0.034999999999999254,-14.66,-3.8850000000000002,8.14,-3.8850000000000002,8.14,0.034999999999999254,-14.66,3
143,143,26,17024.0,2.82,22.79,8.56,-3.93,3.93,22.79,Nakashima,Hit,Back,Cross,Nakashima,Nishioka,2-0,Nishioka,-2.6650000000000005,10.899999999999999,3.075,-15.82,-1.5550000000000002,10.899999999999999,-1.5550000000000002,10.899999999999999,3.075,-15.82,3
147,147,26,17083.0,8.32,16.79,5.33,-2.66,6.79,16.79,Nakashima,Hit,Fore,Cross,Nakashima,Nishioka,2-0,Nishioka,2.835,4.899999999999999,-0.15500000000000025,-14.55,1.3049999999999997,4.899999999999999,1.3049999999999997,4.899999999999999,-0.15500000000000025,-14.55,7
151,151,27,17881.0,10.25,-37.45,-14.72,-37.45,-14.72,-37.45,Nakashima,Hit,Fore,Cross,Nakashima,Nishioka,2-0,Nishioka,4.765,-49.34,-20.205000000000002,-49.34,-20.205000000000002,-49.34,-20.205000000000002,-49.34,-20.205000000000002,-49.34,3
155,155,28,18621.0,5.62,24.63,5.64,-3.96,4.58,24.63,Nakashima,Hit,Fore,Cross,Nakashima,Nishioka,2-0,Nishioka,0.1349999999999998,12.739999999999998,0.15499999999999936,-15.850000000000001,-0.9050000000000002,12.739999999999998,-0.9050000000000002,12.739999999999998,0.15499999999999936,-15.850000000000001,3
159,159,28,18718.0,4.88,24.84,4.94,-3.94,3.82,24.84,Nakashima,Hit,Fore,Cross,Nakashima,Nishioka,2-0,Nishioka,-0.6050000000000004,12.95,-0.5449999999999999,-15.83,-1.6650000000000005,12.95,-1.6650000000000005,12.95,-0.5449999999999999,-15.83,7
165,165,29,22318.0,5.89,-2.07,6.87,-2.07,5.23,25.42,Nakashima,Hit,Fore,Cross,Nishioka,Nakashima,2-1,Nakashima,0.40499999999999936,-13.96,1.3849999999999998,-13.96,-0.2549999999999999,13.530000000000001,1.3849999999999998,-13.96,-0.2549999999999999,13.530000000000001,5
169,169,29,22399.0,0.08,-1.42,1.32,-1.42,6.76,25.31,Nakashima,Hit,Fore,Cross,Nishioka,Nakashima,2-1,Nakashima,-5.405,-13.31,-4.165,-13.31,1.2749999999999995,13.419999999999998,-4.165,-13.31,1.2749999999999995,13.419999999999998,9
177,177,30,23503.0,4.28,-1.21,5.59,-1.21,5.74,26.73,Nakashima,Hit,Fore,Cross,Nishioka,Nakashima,2-1,Nishioka,-1.205,-13.100000000000001,0.10499999999999954,-13.100000000000001,0.2549999999999999,14.84,0.10499999999999954,-13.100000000000001,0.2549999999999999,14.84,5
181,181,30,23584.0,3.83,-0.86,5.32,-0.86,7.57,26.26,Nakashima,Hit,Fore,Cross,Nishioka,Nakashima,2-1,Nishioka,-1.6550000000000002,-12.75,-0.16500000000000004,-12.75,2.085,14.370000000000001,-0.16500000000000004,-12.75,2.085,14.370000000000001,9
188,188,32,24522.0,3.82,-3.73,5.01,-3.73,5.66,25.95,Nakashima,Hit,Fore,Cross,Nishioka,Nakashima,2-1,Nakashima,-1.6650000000000005,-15.620000000000001,-0.47500000000000053,-15.620000000000001,0.17499999999999982,14.059999999999999,-0.47500000000000053,-15.620000000000001,0.17499999999999982,14.059999999999999,5
192,192,32,24596.0,3.28,-0.38,4.66,-0.38,8.94,26.6,Nakashima,Hit,Fore,Cross,Nishioka,Nakashima,2-1,Nakashima,-2.2050000000000005,-12.270000000000001,-0.8250000000000002,-12.270000000000001,3.454999999999999,14.71,-0.8250000000000002,-12.270000000000001,3.454999999999999,14.71,9
204,204,35,26267.0,8.78,-1.78,7.77,-1.78,4.81,26.49,Nakashima,Hit,Back,Cross,Nishioka,Nakashima,2-1,Nishioka,3.294999999999999,-13.67,2.2849999999999993,-13.67,-0.6750000000000007,14.599999999999998,2.2849999999999993,-13.67,-0.6750000000000007,14.599999999999998,5
211,211,37,27219.0,6.44,-1.2,5.67,-1.2,5.39,26.43,Nakashima,Hit,Back,Cross,Nishioka,Nakashima,2-1,Nakashima,0.9550000000000001,-13.09,0.1849999999999996,-13.09,-0.09500000000000064,14.54,0.1849999999999996,-13.09,-0.09500000000000064,14.54,5
215,215,37,27299.0,3.61,-2.87,4.85,-2.87,6.34,26.44,Nakashima,Hit,Fore,Cross,Nishioka,Nakashima,2-1,Nakashima,-1.8750000000000004,-14.760000000000002,-0.6350000000000007,-14.760000000000002,0.8549999999999995,14.55,-0.6350000000000007,-14.760000000000002,0.8549999999999995,14.55,9
219,219,37,27376.0,8.81,-2.15,7.29,-2.15,7.13,25.89,Nakashima,Hit,Back,Cross,Nishioka,Nakashima,2-1,Nakashima,3.325,-14.040000000000001,1.8049999999999997,-14.040000000000001,1.6449999999999996,14.0,1.8049999999999997,-14.040000000000001,1.6449999999999996,14.0,13
223,223,37,27469.0,10.42,-2.06,9.16,-2.06,4.92,25.1,Nakashima,Hit,Back,Cross,Nishioka,Nakashima,2-1,Nakashima,4.935,-13.950000000000001,3.675,-13.950000000000001,-0.5650000000000004,13.21,3.675,-13.950000000000001,-0.5650000000000004,13.21,17
227,227,37,27546.0,4.57,-2.21,5.93,-2.21,2.95,26.61,Nakashima,Hit,Fore,Cross,Nishioka,Nakashima,2-1,Nakashima,-0.915,-14.100000000000001,0.4449999999999994,-14.100000000000001,-2.535,14.719999999999999,0.4449999999999994,-14.100000000000001,-2.535,14.719999999999999,21
231,231,37,27689.0,11.22,9.22,10.71,9.22,6.44,26.53,Nakashima,Hit,Back,Cross,Nishioka,Nakashima,2-1,Nakashima,5.735,-2.67,5.2250000000000005,-2.67,0.9550000000000001,14.64,5.2250000000000005,-2.67,0.9550000000000001,14.64,25
238,238,42,30224.0,4.85,-2.74,5.9,-2.74,6.66,25.01,Nakashima,Hit,Fore,Cross,Nakashima,Nishioka,3-1,Nishioka,-0.6350000000000007,-14.63,0.41500000000000004,-14.63,1.1749999999999998,13.120000000000001,0.41500000000000004,-14.63,1.1749999999999998,13.120000000000001,3
242,242,42,30318.0,10.84,1.81,9.87,1.81,4.44,25.41,Nakashima,Hit,Back,Cross,Nakashima,Nishioka,3-1,Nishioka,5.3549999999999995,-10.08,4.384999999999999,-10.08,-1.045,13.52,4.384999999999999,-10.08,-1.045,13.52,7
246,246,43,31053.0,2.43,-2.34,3.94,-2.34,3.33,26.48,Nakashima,Hit,Fore,Cross,Nakashima,Nishioka,3-1,Nakashima,-3.055,-14.23,-1.5450000000000004,-14.23,-2.1550000000000002,14.59,-1.5450000000000004,-14.23,-2.1550000000000002,14.59,3
250,250,43,31127.0,5.63,-0.43,6.71,-0.43,7.45,26.48,Nakashima,Hit,Fore,Cross,Nakashima,Nishioka,3-1,Nakashima,0.14499999999999957,-12.32,1.2249999999999996,-12.32,1.9649999999999999,14.59,1.2249999999999996,-12.32,1.9649999999999999,14.59,7
255,255,44,31798.0,8.58,-1.46,7.5,-1.46,4.93,26.55,Nakashima,Hit,Back,Cross,Nakashima,Nishioka,3-1,Nishioka,3.0949999999999998,-13.350000000000001,2.0149999999999997,-13.350000000000001,-0.5550000000000006,14.66,2.0149999999999997,-13.350000000000001,-0.5550000000000006,14.66,3
259,259,44,31878.0,3.38,-1.11,4.68,-1.11,4.66,26.27,Nakashima,Hit,Fore,Cross,Nakashima,Nishioka,3-1,Nishioka,-2.1050000000000004,-13.0,-0.8050000000000006,-13.0,-0.8250000000000002,14.379999999999999,-0.8050000000000006,-13.0,-0.8250000000000002,14.379999999999999,7
263,263,44,31959.0,8.35,-1.1,7.5,-1.1,8.98,27.12,Nakashima,Hit,Back,Cross,Nakashima,Nishioka,3-1,Nishioka,2.8649999999999993,-12.99,2.0149999999999997,-12.99,3.495,15.23,2.0149999999999997,-12.99,3.495,15.23,11
268,268,45,32757.0,7.66,3.1,6.91,3.1,4.76,25.86,Nakashima,Hit,Back,Cross,Nakashima,Nishioka,3-1,Nakashima,2.175,-8.790000000000001,1.4249999999999998,-8.790000000000001,-0.7250000000000005,13.969999999999999,1.4249999999999998,-8.790000000000001,-0.7250000000000005,13.969999999999999,3
272,272,45,32845.0,9.38,9.62,8.0,9.62,6.39,21.99,Nakashima,Hit,Back,Cross,Nakashima,Nishioka,3-1,Nakashima,3.8950000000000005,-2.2700000000000014,2.5149999999999997,-2.2700000000000014,0.9049999999999994,10.099999999999998,2.5149999999999997,-2.2700000000000014,0.9049999999999994,10.099999999999998,7
277,277,46,33628.0,3.66,-1.86,4.84,-1.86,7.18,25.08,Nakashima,Hit,Fore,Cross,Nakashima,Nishioka,3-1,Nakashima,-1.8250000000000002,-13.75,-0.6450000000000005,-13.75,1.6949999999999994,13.189999999999998,-0.6450000000000005,-13.75,1.6949999999999994,13.189999999999998,3
281,281,46,33701.0,3.07,-4.2,4.25,-4.2,5.18,18.97,Nakashima,Hit,Fore,Cross,Nakashima,Nishioka,3-1,Nakashima,-2.4150000000000005,-16.09,-1.2350000000000003,-16.09,-0.3050000000000006,7.079999999999998,-1.2350000000000003,-16.09,-0.3050000000000006,7.079999999999998,7
288,288,49,35326.0,3.98,-0.56,3.51,-0.56,9.4,25.79,Nakashima,Hit,Back,Cross,Nakashima,Nishioka,3-1,Nakashima,-1.5050000000000003,-12.450000000000001,-1.9750000000000005,-12.450000000000001,3.915,13.899999999999999,-1.9750000000000005,-12.450000000000001,3.915,13.899999999999999,3
292,292,49,35429.0,4.29,0.35,5.88,0.35,4.91,27.14,Nakashima,Hit,Fore,Cross,Nakashima,Nishioka,3-1,Nakashima,-1.1950000000000003,-11.540000000000001,0.3949999999999996,-11.540000000000001,-0.5750000000000002,15.25,0.3949999999999996,-11.540000000000001,-0.5750000000000002,15.25,7
299,299,51,36465.0,0.76,-1.29,2.03,-1.29,5.46,24.4,Nakashima,Hit,Fore,Cross,Nakashima,Nishioka,3-1,Nishioka,-4.7250000000000005,-13.18,-3.4550000000000005,-13.18,-0.025000000000000355,12.509999999999998,-3.4550000000000005,-13.18,-0.025000000000000355,12.509999999999998,3
304,304,52,37188.0,4.68,1.5,5.8,1.5,6.87,26.59,Nakashima,Hit,Fore,Cross,Nakashima,Nishioka,3-1,Nakashima,-0.8050000000000006,-10.39,0.3149999999999995,-10.39,1.3849999999999998,14.7,0.3149999999999995,-10.39,1.3849999999999998,14.7,3
308,308,52,37262.0,1.49,7.41,2.86,7.41,8.7,25.33,Nakashima,Hit,Fore,Cross,Nakashima,Nishioka,3-1,Nakashima,-3.995,-4.48,-2.6250000000000004,-4.48,3.214999999999999,13.439999999999998,-2.6250000000000004,-4.48,3.214999999999999,13.439999999999998,7
